"";"nomor_urut";"jenis_kelamin";"umur";"fakultas";"prodi";"tingkat_semester";"uang_saku";"kepemilikan_mobil";"kepemilikan_motor";"kepemilikan_sepeda";"kendaraan_utama";"jenis_tempat_tinggal";"jarak";"jumlah_perjalanan_selasa";"jumlah_perjalanan_rabu";"jumlah_perjalanan_kamis";"jumlah_perjalanan_jumat";"jumlah_perjalanan_sabtu";"jumlah_perjalanan_ahad"
"11";11;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Bersama-sama";0,63;4;4;2;2;2;2
"12";12;"Perempuan";19;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,53;2;2;2;2;2;2
"13";13;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;3;1;"Sepeda Motor Pribadi";"Rumah Mengontrak Pribadi";0,91;2;2;2;2;0;0
"14";14;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,52;2;2;2;2;0;2
"15";15;"Laki-laki";19;"Dakwah dan Ilmu Komunikasi";"Komunikasi dan Penyiaran Islam";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Bersama-sama";1,31;3;2;0;2;0;2
"16";16;"Perempuan";20;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,83;2;2;3;0;0;0
"17";17;"Perempuan";19;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"1 (Semester 1 - Semester 2)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";0,95;2;2;2;2;0;0
"18";18;"Laki-laki";21;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";7,67;2;0;2;2;2;1
"19";19;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,34;3;3;2;0;0;2
"20";20;"Laki-laki";20;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;1;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";4,46;0;2;2;2;2;0
"21";21;"Perempuan";20;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Bersama-sama";0,71;0;2;2;2;0;0
"22";22;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Bersama-sama";0,92;0;2;2;2;0;2
"23";23;"Perempuan";20;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,37;2;2;2;2;0;2
"24";24;"Laki-laki";19;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;1;"Sepeda";"Kos Sendiri";0,56;0;3;3;2;0;2
"25";25;"Laki-laki";20;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";3,02;0;3;2;2;0;0
"26";26;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Anak Usia Dini";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;3;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";8,56;2;0;2;2;2;0
"27";27;"Perempuan";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";8,49;3;2;3;3;2;0
"28";28;"Laki-laki";22;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"4 (Semester 7 - Semester 8)";"< 1 Jt";1;2;3;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,77;1;2;2;3;2;0
"29";29;"Perempuan";21;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,34;0;0;2;0;0;0
"30";30;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";2,4;2;4;4;0;0;0
"31";31;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";4,3;3;3;3;4;2;0
"32";32;"Laki-laki";21;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,27;2;2;2;2;2;0
"33";33;"Laki-laki";20;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";1;2;4;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,45;3;2;2;2;0;2
"34";34;"Perempuan";21;"Ushuluddin dan Studi Agama";"Psikologi Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";26,14;2;2;2;1;0;0
"35";35;"Perempuan";20;"Ushuluddin dan Studi Agama";"Psikologi Islam";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,27;2;4;4;1;0;0
"36";36;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Transportasi Online";"Rumah Pribadi/Rumah Keluarga";9,09;2;0;0;0;0;0
"37";37;"Laki-laki";24;"Syariah";"Hukum Ekonomi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;0;0;"Berjalan Kaki";"Rumah Mengontrak Bersama-sama";1,39;5;5;5;5;5;5
"38";38;"Laki-laki";22;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";0,63;2;3;3;2;2;0
"39";39;"Laki-laki";21;"Tarbiyah dan Keguruan";"Sistem Informasi";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;3;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,56;0;5;2;2;4;2
"40";40;"Perempuan";24;"Tarbiyah dan Keguruan";"Bimbingan dan Konseling";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,06;4;4;2;2;2;2
"41";41;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,07;2;2;4;0;0;0
"42";42;"Perempuan";21;"Tarbiyah dan Keguruan";"Biologi";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Sendiri";6,01;2;2;2;2;2;0
"43";43;"Perempuan";20;"Ushuluddin dan Studi Agama";"Ilmu Alquran dan Tafsir";"1 (Semester 1 - Semester 2)";"< 1 Jt";1;2;2;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";7,83;3;0;2;0;0;2
"44";44;"Perempuan";20;"Ushuluddin dan Studi Agama";"Psikologi Islam";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";7,87;3;4;2;0;0;0
"45";45;"Laki-laki";20;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,05;4;0;3;2;0;0
"46";46;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";1;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";10,66;2;0;2;0;2;0
"47";47;"Perempuan";21;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,15;4;2;2;2;2;2
"48";48;"Perempuan";21;"Syariah";"Hukum Tata Negara";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";1,51;2;4;4;2;0;0
"49";49;"Perempuan";19;"Ushuluddin dan Studi Agama";"Studi Agama-Agama";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";6,18;2;2;2;0;0;0
"50";50;"Laki-laki";21;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,97;0;3;3;4;1;1
"51";51;"Laki-laki";21;"Ushuluddin dan Studi Agama";"Psikologi Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";1;3;3;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,26;3;3;0;2;0;0
"52";52;"Perempuan";19;"Tarbiyah dan Keguruan";"Sistem Informasi";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,91;5;5;5;2;2;0
"53";53;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"1 (Semester 1 - Semester 2)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";7,09;4;2;2;2;0;0
"54";54;"Perempuan";19;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,51;2;2;2;0;0;0
"55";55;"Perempuan";20;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";1;3;0;"Transportasi Online";"Rumah Pribadi/Rumah Keluarga";3,38;2;3;0;2;0;0
"56";56;"Perempuan";20;"Tarbiyah dan Keguruan";"Bimbingan dan Konseling";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,09;3;3;3;2;0;0
"57";57;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,5;6;6;6;6;6;6
"58";58;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";1;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,46;2;2;2;2;0;0
"59";59;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;0;0;"Berjalan Kaki";"Kos Bersama-sama";0,44;2;2;2;2;2;2
"60";60;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,25;2;0;2;3;0;0
"61";61;"Laki-laki";23;"Dakwah dan Ilmu Komunikasi";"Pengembangan Masyarakat Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;3;2;"Sepeda Motor Pribadi";"Kos Sendiri";1,25;2;2;1;2;0;1
"62";62;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";5,3;0;0;0;0;0;0
"63";63;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";1,27;2;2;0;2;0;2
"64";64;"Perempuan";21;"Tarbiyah dan Keguruan";"Bimbingan dan Konseling";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Sendiri";1,15;2;1;2;2;1;1
"65";65;"Perempuan";21;"Tarbiyah dan Keguruan";"Bimbingan dan Konseling";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";2,69;2;0;3;3;0;0
"66";66;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";1,05;2;2;2;2;2;0
"67";67;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";8,5;3;2;2;2;0;0
"68";68;"Perempuan";20;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,78;3;0;3;3;0;0
"69";69;"Perempuan";20;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Bersama-sama";0,78;3;3;3;3;2;2
"70";70;"Laki-laki";19;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,86;3;2;2;4;0;2
"71";71;"Perempuan";21;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Asrama";0,22;4;0;4;0;0;0
"72";72;"Perempuan";19;"Ushuluddin dan Studi Agama";"Ilmu Alquran dan Tafsir";"2 (Semester 3 - Semester 4)";"< 1 Jt";1;3;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";6,96;2;2;2;0;0;0
"73";73;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;1;"Sepeda Motor Pribadi";"Kos Sendiri";2,45;3;2;0;3;0;0
"74";74;"Perempuan";19;"Dakwah dan Ilmu Komunikasi";"Pengembangan Masyarakat Islam";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;0;0;"Berjalan Kaki";"Kos Bersama-sama";0,8;2;3;3;0;3;0
"75";75;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";1,59;3;3;3;0;0;0
"76";76;"Laki-laki";20;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,47;3;3;0;3;0;2
"77";77;"Perempuan";20;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Sendiri";0,79;2;2;0;0;0;0
"78";78;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,79;2;2;2;2;0;0
"79";79;"Laki-laki";21;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";1,5;3;2;1;2;2;1
"80";80;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Sendiri";0,78;2;2;4;0;0;0
"81";81;"Perempuan";22;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";7,13;2;3;3;0;0;0
"82";82;"Laki-laki";18;"Tarbiyah dan Keguruan";"Sistem Informasi";"1 (Semester 1 - Semester 2)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Asrama";0,22;0;4;2;2;0;0
"83";83;"Perempuan";20;"Ushuluddin dan Studi Agama";"Psikologi Islam";"3 (Semester 5 - Semester 6)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,5;2;2;2;0;0;1
"84";84;"Laki-laki";21;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";9,37;2;2;0;2;2;2
"85";85;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Bersama-sama";1,15;4;2;1;3;2;2
"86";86;"Perempuan";20;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,92;3;3;3;2;2;2
"87";87;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Bersama-sama";0,54;2;2;2;2;0;0
"88";88;"Perempuan";22;"Dakwah dan Ilmu Komunikasi";"Komunikasi dan Penyiaran Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Bersama-sama";0,78;2;0;2;0;0;0
"89";89;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"3 (Semester 5 - Semester 6)";"> 4 Jt";2;2;3;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";3,44;2;0;2;2;0;0
"90";90;"Perempuan";23;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,51;0;2;0;2;2;0
"91";91;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";9,32;2;2;2;0;0;0
"92";92;"Laki-laki";21;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,07;2;2;0;2;2;0
"93";93;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,72;0;2;2;0;2;0
"94";94;"Perempuan";21;"Syariah";"Hukum Tata Negara";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;4;2;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,79;2;0;2;0;0;0
"95";95;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";7,93;3;4;4;2;0;0
"96";96;"Perempuan";20;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;0;0;"Transportasi Online";"Kos Bersama-sama";0,88;2;2;2;2;0;0
"97";97;"Laki-laki";21;"Dakwah dan Ilmu Komunikasi";"Komunikasi dan Penyiaran Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,88;0;0;2;2;0;0
"98";98;"Perempuan";20;"Tarbiyah dan Keguruan";"Bimbingan dan Konseling";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;0;"Berjalan Kaki";"Asrama";0,22;6;4;4;4;2;2
"99";99;"Laki-laki";23;"Ushuluddin dan Studi Agama";"Aqidah dan Filsafat Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";2,1;0;2;0;2;1;1
"100";100;"Perempuan";21;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;0;0;"Berjalan Kaki";"Rumah Mengontrak Bersama-sama";3,85;4;6;2;2;0;0
"101";101;"Perempuan";22;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,71;2;0;2;2;2;0
"102";102;"Perempuan";24;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";0,57;2;3;2;2;0;0
"103";103;"Perempuan";22;"Ushuluddin dan Studi Agama";"Studi Agama-Agama";"4 (Semester 7 - Semester 8)";"< 1 Jt";1;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,95;2;2;2;2;0;0
"104";104;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"4 (Semester 7 - Semester 8)";"< 1 Jt";1;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,34;2;2;2;2;2;0
"105";105;"Laki-laki";19;"Adab";"Ilmu Perpustakaan dan Informasi Islam";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,84;3;3;0;4;4;3
"106";106;"Perempuan";21;"Ushuluddin dan Studi Agama";"Tasawuf dan Psikoterapi";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Transportasi Online";"Rumah Mengontrak Bersama-sama";3,17;2;2;2;0;2;0
"107";107;"Laki-laki";21;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,31;4;4;3;2;0;2
"108";108;"Laki-laki";21;"Adab";"Sejarah Peradaban Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";1;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";11,35;3;3;0;3;3;0
"109";109;"Laki-laki";22;"Tarbiyah dan Keguruan";"Sistem Informasi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,84;3;2;2;3;3;0
