Kampus_PT;Nomor urut;Jenis Kelamin;Umur;Fakultas;Prodi;Tingkat Semester;Uang Saku;jumlah mobil;jumlah motor;jumlah sepeda;kendaraan utama;jenis tempat tinggal;jarak;biaya sepekan;Jumlah Perjalanan Senin;Jumlah Perjalanan Selasa;Jumlah Perjalanan Rabu;Jumlah Perjalanan Kamis;Jumlah Perjalanan Jumat;Jumlah Perjalanan Sabtu;Jumlah Perjalanan Ahad
ITERA;48;Perempuan;19;FTIK;Perencanaan Wilayah dan Kota;Semester 3-4;< 1 Jt;1;0;1;Sepeda motor pribadi;Rumah pribadi;7,89;150;1;1;1;1;1;1;1
ITERA;169;Laki-laki;23;FTIK;Teknik Geomatika;Semester 7-8;2,1 - 3 Jt;0;1;0;Mobil pribadi;Rumah mengontrak bersama;6,78;150;4;3;2;2;3;2;2
ITERA;225;Laki-laki;21;FTIK;Teknik Sipil;Semester 5-6;3,1 - 4 Jt;3;1;1;Mobil pribadi;Rumah pribadi;6,07;150;2;2;2;2;3;2;0
ITERA;242;Perempuan;19;FTIK;Pariwisata;Semester 1-2;2,1 - 3 Jt;2;2;2;Mobil pribadi;Rumah pribadi;10,63;150;0;2;2;2;4;0;0
ITERA;319;Laki-laki;22;FTI;Teknik Telekomunikasi;Semester 7-8;1 - 2 Jt;2;1;1;Mobil pribadi;Rumah pribadi;2,96;150;3;2;4;2;4;0;2
ITERA;422;Laki-laki;23;FTI;Teknik Geofisika;Semester 7-8;2,1 - 3 Jt;2;1;2;Mobil pribadi;Rumah pribadi;3,16;150;2;0;2;2;2;2;0
ITERA;80;Perempuan;23;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;1 - 2 Jt;1;1;1;Layanan online;Rumah pribadi;5,23;144;2;2;2;2;2;2;2
ITERA;9;Perempuan;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;3,1 - 4 Jt;0;1;0;Mobil pribadi;Kos sendiri;3,77;100;0;3;2;2;0;2;2
ITERA;23;Perempuan;22;FTIK;Teknik Geomatika;Semester 7-8;3,1 - 4 Jt;2;1;0;Sepeda motor pribadi;Rumah pribadi;10,44;100;3;4;3;4;4;4;2
ITERA;31;Perempuan;22;FS;Farmasi;Semester 7-8;< 1 Jt;0;0;0;Layanan online;Rumah mengontrak bersama;3,56;100;2;2;2;2;4;0;2
ITERA;53;Laki-laki;21;FTI;Teknik Informatika;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah saudara;13,56;100;4;4;4;4;5;0;0
ITERA;60;Laki-laki;22;FTIK;Perencanaan Wilayah dan Kota;Semester 5-6;1 - 2 Jt;2;1;0;Sepeda motor pribadi;Rumah pribadi;5,4;100;4;4;4;4;7;0;0
ITERA;83;Laki-laki;20;FTI;Teknik Industri;Semester 5-6;2,1 - 3 Jt;1;0;1;Sepeda motor pribadi;Kos sendiri;2,79;100;3;3;3;4;5;4;5
ITERA;107;Laki-laki;21;FTI;Teknologi Pangan;Semester 7-8;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;3,7;100;2;1;3;0;1;1;0
ITERA;155;Laki-laki;23;FTIK;Arsitektur;Semester 7-8;1 - 2 Jt;2;1;1;Mobil pribadi;Rumah pribadi;5,81;100;3;4;2;2;2;0;0
ITERA;210;Laki-laki;21;FTI;Teknologi Pangan;Semester 5-6;1 - 2 Jt;2;0;0;Sepeda motor pribadi;Rumah pribadi;15,57;100;3;3;3;3;3;2;0
ITERA;269;Laki-laki;22;FTIK;Teknik Sipil;Semester 5-6;2,1 - 3 Jt;0;1;0;Mobil pribadi;Rumah saudara;5,4;100;2;3;2;2;4;0;0
ITERA;339;Laki-laki;18;FTI;Teknologi Pangan;Semester 1-2;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;6,33;100;0;4;4;2;5;0;2
ITERA;355;Laki-laki;21;FTI;Teknik Pertambangan;Semester 5-6;3,1 - 4 Jt;2;2;2;Mobil pribadi;Rumah pribadi;3,57;100;3;3;2;0;3;0;4
ITERA;349;Perempuan;20;FTI;Teknologi Industri Pertanian;Semester 3-4;2,1 - 3 Jt;0;0;0;Layanan online;Kos bersama-sama;2,05;90;4;2;4;4;2;2;2
ITERA;28;Perempuan;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;< 1 Jt;0;0;0;Layanan online;Rumah mengontrak bersama;5,03;80;2;2;2;2;2;2;3
ITERA;286;Perempuan;19;FTI;Teknik Material;Semester 3-4;2,1 - 3 Jt;0;0;0;Layanan online;Kos sendiri;5,57;80;3;2;4;4;2;0;2
ITERA;421;Perempuan;19;FTI;Teknik Kimia;Semester 3-4;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;8,01;80;2;2;2;2;2;0;0
ITERA;22;Laki-laki;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;> 4 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;1,76;75;3;3;3;3;3;0;2
ITERA;82;Laki-laki;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;3,7;70;4;4;6;4;4;4;4
ITERA;219;Perempuan;19;FTIK;Teknik Perkeretaapian;Semester 3-4;2,1 - 3 Jt;0;0;0;Layanan online;Kos sendiri;2,05;70;2;2;3;4;2;2;0
ITERA;275;Laki-laki;21;FTIK;Teknik Sipil;Semester 5-6;2,1 - 3 Jt;0;0;0;Layanan online;Rumah saudara;1,78;70;2;2;2;2;2;1;0
ITERA;310;Perempuan;21;FTI;Teknik Informatika;Semester 7-8;1 - 2 Jt;0;0;0;Layanan online;Rumah mengontrak bersama;3,57;70;2;2;0;2;2;0;3
ITERA;331;Perempuan;19;FTI;Teknik Biomedis;Semester 3-4;2,1 - 3 Jt;0;0;0;Layanan online;Kos sendiri;3,68;70;4;2;2;2;2;2;0
ITERA;347;Perempuan;19;FTI;Teknologi Industri Pertanian;Semester 3-4;1 - 2 Jt;0;0;0;Layanan online;Kos bersama-sama;5,24;70;2;4;2;2;2;2;0
ITERA;154;Perempuan;22;FTIK;Arsitektur;Semester 7-8;2,1 - 3 Jt;0;0;0;Layanan online;Rumah mengontrak bersama;8,7;65;2;2;2;0;0;0;2
ITERA;315;Perempuan;20;FTI;Teknik Biomedis;Semester 3-4;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;6,52;65;4;4;4;4;0;2;2
ITERA;387;Perempuan;21;FTI;Teknik Geologi;Semester 5-6;2,1 - 3 Jt;0;0;0;Layanan online;Kos sendiri;0,22;65;2;2;2;2;4;0;0
ITERA;423;Perempuan;20;FTI;Teknik Kimia;Semester 3-4;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;2,78;65;2;2;2;2;2;2;0
ITERA;13;Perempuan;20;FTIK;Perencanaan Wilayah dan Kota;Semester 3-4;< 1 Jt;1;0;0;Sepeda motor pribadi;Rumah pribadi;10,69;62;4;4;4;4;4;0;0
ITERA;30;Perempuan;21;FTIK;Teknik Geomatika;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;3,52;60;3;3;3;2;3;3;4
ITERA;43;Perempuan;20;FS;Sains Aktuaria;Semester 7-8;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;3,7;60;2;0;0;0;3;0;2
ITERA;90;Laki-laki;22;FS;Sains Lingkungan Kelautan;Semester 7-8;1 - 2 Jt;2;0;1;Sepeda motor pribadi;Rumah pribadi;7,07;60;2;3;2;3;2;2;2
ITERA;123;Laki-laki;22;FTIK;Teknik Kelautan;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;2,24;60;3;3;2;3;4;0;3
ITERA;137;Laki-laki;22;FS;Sains Data;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;2,82;60;2;3;2;2;2;0;5
ITERA;139;Perempuan;21;FS;Sains Atmosfir dan Keplanetan;Semester 5-6;1 - 2 Jt;0;0;0;Layanan online;Rumah mengontrak bersama;3,84;60;4;2;2;2;2;2;2
ITERA;150;Perempuan;23;FS;Sains Atmosfir dan Keplanetan;Semester 7-8;1 - 2 Jt;0;0;0;Layanan online;Kos bersama-sama;5,17;60;2;1;3;2;2;1;1
ITERA;151;Perempuan;23;FS;Sains Atmosfir dan Keplanetan;Semester 7-8;> 4 Jt;0;0;0;Layanan online;Kos sendiri;5,52;60;2;0;2;0;0;0;2
ITERA;164;Perempuan;22;FTIK;Arsitektur;Semester 7-8;1 - 2 Jt;2;1;1;Sepeda motor pribadi;Rumah pribadi;5,46;60;2;4;4;0;3;0;2
ITERA;205;Perempuan;20;FTIK;Teknik Perkeretaapian;Semester 5-6;< 1 Jt;1;0;0;Sepeda motor pribadi;Rumah pribadi;5,66;60;2;1;2;2;2;1;1
ITERA;270;Perempuan;21;FTI;Teknik Sistem Energi;Semester 5-6;< 1 Jt;0;0;0;Layanan online;Rumah mengontrak bersama;4,96;60;2;2;4;2;2;0;2
ITERA;322;Perempuan;20;FTI;Teknologi Pangan;Semester 3-4;1 - 2 Jt;0;0;0;Layanan online;Kos bersama-sama;0,72;60;4;2;0;4;4;0;0
ITERA;427;Perempuan;20;FTI;Teknik Kimia;Semester 3-4;< 1 Jt;0;0;0;Layanan online;Kos sendiri;3,09;60;2;2;2;0;2;0;0
ITERA;395;Perempuan;21;FTI;Teknik Elektro;Semester 5-6;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;5,61;58;2;2;2;2;0;2;2
ITERA;125;Perempuan;21;FS;Sains Data;Semester 7-8;< 1 Jt;0;0;0;Layanan online;Kos sendiri;5,35;55;2;2;2;2;0;0;0
ITERA;214;Perempuan;20;FTI;Teknik Biosistem;Semester 5-6;2,1 - 3 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;4,61;55;4;0;5;4;0;4;0
ITERA;306;Perempuan;21;FTI;Teknik Biomedis;Semester 7-8;1 - 2 Jt;1;0;0;Layanan online;Kos sendiri;2,78;55;0;2;2;2;2;2;2
ITERA;363;Perempuan;21;FTI;Teknik Industri;Semester 7-8;2,1 - 3 Jt;0;0;0;Layanan online;Kos sendiri;7,13;55;2;3;0;0;2;0;2
ITERA;29;Laki-laki;19;FTIK;Perencanaan Wilayah dan Kota;Semester 3-4;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;2,39;54;4;3;3;4;4;4;3
ITERA;24;Perempuan;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;< 1 Jt;2;0;1;Layanan online;Rumah pribadi;10,32;50;0;4;3;0;1;0;0
ITERA;25;Laki-laki;21;FTIK;Teknik Geomatika;Semester 7-8;1 - 2 Jt;1;0;1;Sepeda motor pribadi;Rumah saudara;6,39;50;5;5;5;5;6;5;5
ITERA;26;Perempuan;21;FTIK;Teknik Geomatika;Semester 7-8;< 1 Jt;1;0;0;Sepeda motor pribadi;Rumah pribadi;7,93;50;2;2;0;3;3;2;0
ITERA;35;Laki-laki;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;4,61;50;4;4;3;4;6;4;5
ITERA;34;Laki-laki;21;FTI;Teknik Industri;Semester 5-6;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;4,75;50;0;0;0;3;6;0;7
ITERA;46;Perempuan;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;2,1 - 3 Jt;2;0;0;Sepeda motor pribadi;Rumah pribadi;8,56;50;2;2;2;2;0;0;0
ITERA;49;Perempuan;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;< 1 Jt;1;0;0;Sepeda motor pribadi;Rumah pribadi;3,91;50;0;2;3;0;0;0;0
ITERA;52;Perempuan;22;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;< 1 Jt;0;0;0;Layanan online;Kos sendiri;7,5;50;2;2;2;0;0;0;0
ITERA;55;Perempuan;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;1 - 2 Jt;2;2;0;Sepeda motor pribadi;Rumah pribadi;5,87;50;3;3;5;4;2;4;3
ITERA;62;Perempuan;21;FTI;Teknik Pertambangan;Semester 7-8;< 1 Jt;2;0;1;Sepeda motor pribadi;Rumah saudara;3,47;50;3;3;3;3;4;0;0
ITERA;75;Laki-laki;21;FTI;Teknik Informatika;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;5,01;50;2;3;3;4;5;0;0
ITERA;76;Laki-laki;21;FTI;Teknik Informatika;Semester 7-8;2,1 - 3 Jt;2;1;0;Sepeda motor pribadi;Rumah pribadi;2,26;50;2;2;3;5;4;4;0
ITERA;88;Laki-laki;22;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;2,76;50;4;4;4;5;5;4;4
ITERA;92;Laki-laki;21;FS;Sains Lingkungan Kelautan;Semester 7-8;< 1 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak pribadi;3,9;50;3;2;2;2;5;0;2
ITERA;109;Perempuan;22;FS;Kimia;Semester 5-6;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;2,24;50;2;3;3;2;2;0;2
ITERA;111;Laki-laki;22;FTIK;Teknik Kelautan;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;4,88;50;3;2;3;2;5;0;2
ITERA;114;Perempuan;21;FS;Farmasi;Semester 7-8;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;5,27;50;2;2;0;2;0;0;0
ITERA;135;Perempuan;21;FS;Sains Data;Semester 7-8;< 1 Jt;0;0;0;Layanan online;Kos sendiri;5,52;50;2;2;2;2;0;0;0
ITERA;143;Laki-laki;22;FTIK;Teknik Geomatika;Semester 7-8;1 - 2 Jt;1;0;1;Sepeda motor pribadi;Rumah mengontrak bersama;8,19;50;4;2;3;0;5;0;2
ITERA;147;Perempuan;22;FS;Sains Aktuaria;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;6,78;50;2;2;0;2;2;3;4
ITERA;157;Perempuan;20;FS;Sains Atmosfir dan Keplanetan;Semester 5-6;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;4,97;50;4;2;2;2;2;0;0
ITERA;168;Laki-laki;20;FTIK;Teknik Lingkungan;Semester 3-4;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;6,52;50;4;4;4;3;4;0;2
ITERA;170;Perempuan;20;FTIK;Teknik Lingkungan;Semester 3-4;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;5,13;50;4;4;4;2;5;2;3
ITERA;173;Laki-laki;23;FTIK;Teknik Geomatika;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;6,13;50;5;3;3;2;5;4;0
ITERA;180;Perempuan;19;FS;Sains Atmosfir dan Keplanetan;Semester 1-2;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;6,64;50;4;1;2;2;3;4;1
ITERA;186;Laki-laki;21;FTIK;Desain Komunikasi Visual;Semester 5-6;2,1 - 3 Jt;1;0;1;Sepeda motor pribadi;Rumah mengontrak bersama;3,09;50;4;4;2;2;2;0;2
ITERA;188;Perempuan;22;FTIK;Desain Komunikasi Visual;Semester 7-8;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;5,4;50;3;2;2;2;0;2;0
ITERA;193;Laki-laki;20;FTIK;Teknik Lingkungan;Semester 3-4;2,1 - 3 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;7,43;50;4;4;4;6;5;3;0
ITERA;206;Perempuan;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;< 1 Jt;3;1;0;Sepeda motor pribadi;Kos sendiri;1,78;50;1;1;1;1;1;1;1
ITERA;218;Perempuan;20;FTIK;Arsitektur;Semester 5-6;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;8,2;50;2;2;2;3;1;0;3
ITERA;357;Perempuan;18;FTI;Teknologi Industri Pertanian;Semester 3-4;< 1 Jt;0;0;0;Layanan online;Rumah mengontrak bersama;7,82;50;2;2;2;2;2;2;2
ITERA;366;Perempuan;21;FTI;Teknik Industri;Semester 7-8;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;5,02;50;2;2;0;2;2;2;0
ITERA;370;Laki-laki;21;FTI;Teknik Informatika;Semester 5-6;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos bersama-sama;5,68;50;4;2;2;2;2;2;2
ITERA;425;Laki-laki;19;FTI;Teknik Kimia;Semester 1-2;1 - 2 Jt;2;1;1;Sepeda motor pribadi;Rumah pribadi;3,58;50;2;2;3;2;2;4;0
ITERA;405;Perempuan;21;FTI;Teknik Elektro;Semester 7-8;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;0,39;47;2;2;2;2;2;2;2
ITERA;12;Perempuan;19;FTIK;Perencanaan Wilayah dan Kota;Semester 3-4;< 1 Jt;1;0;1;Sepeda motor pribadi;Rumah pribadi;4,4;45;4;2;2;4;2;0;1
ITERA;89;Laki-laki;22;FS;Kimia;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;9,41;45;3;0;2;2;3;0;2
ITERA;99;Laki-laki;22;FTI;Teknik Mesin;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;3,84;45;4;3;2;0;4;2;0
ITERA;121;Perempuan;21;FTI;Rekayasa Kehutanan;Semester 5-6;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;3,17;45;2;2;4;2;2;0;2
ITERA;134;Laki-laki;22;FS;Sains Data;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;5,5;45;3;2;2;2;2;2;0
ITERA;162;Laki-laki;21;FTIK;Teknik Lingkungan;Semester 3-4;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;14,01;45;4;4;4;2;4;0;2
ITERA;284;Perempuan;20;FTI;Teknik Biosistem;Semester 5-6;< 1 Jt;0;0;0;Layanan online;Kos bersama-sama;5,99;45;4;0;4;2;0;0;0
ITERA;308;Perempuan;19;FTI;Teknologi Industri Pertanian;Semester 1-2;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;4,03;45;2;4;2;2;2;2;0
ITERA;325;Perempuan;21;FTI;Teknik Telekomunikasi;Semester 5-6;1 - 2 Jt;0;0;0;Layanan online;Kos sendiri;6,03;45;2;4;2;2;2;0;0
ITERA;358;Perempuan;19;FTI;Teknologi Industri Pertanian;Semester 3-4;2,1 - 3 Jt;0;0;0;Layanan online;Rumah saudara;5,57;45;2;0;2;2;2;0;0
ITERA;371;Perempuan;21;FTI;Teknik Industri;Semester 5-6;2,1 - 3 Jt;0;0;0;Layanan online;Kos sendiri;3,77;45;0;2;2;0;0;3;0
ITERA;359;Laki-laki;20;FTI;Teknologi Industri Pertanian;Semester 3-4;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;5,29;42;3;4;0;4;5;3;3
ITERA;3;Perempuan;20;FTIK;Perencanaan Wilayah dan Kota;Semester 5-6;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;5,17;40;4;4;5;4;2;2;2
ITERA;6;Laki-laki;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;4,75;40;2;3;5;2;3;2;0
ITERA;18;Perempuan;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos bersama-sama;3,55;40;2;2;2;2;2;0;3
ITERA;45;Laki-laki;21;FTI;Teknik Informatika;Semester 7-8;2,1 - 3 Jt;1;0;0;Sepeda motor pribadi;Kos bersama-sama;14,12;40;4;3;3;4;3;4;4
ITERA;65;Perempuan;21;FS;Biologi;Semester 7-8;< 1 Jt;1;0;0;Layanan online;Kos sendiri;2,24;40;2;3;3;2;0;2;0
ITERA;66;Perempuan;22;FS;Biologi;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;5,14;40;3;2;4;3;2;0;4
ITERA;74;Laki-laki;22;FTI;Teknik Informatika;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;6,83;40;4;2;3;0;2;2;0
ITERA;86;Laki-laki;21;FS;Fisika;Semester 5-6;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;3,7;40;2;4;2;3;2;5;0
ITERA;93;Laki-laki;22;FS;Sains Lingkungan Kelautan;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;3,48;40;2;2;0;2;2;3;2
ITERA;94;Laki-laki;22;FS;Kimia;Semester 7-8;2,1 - 3 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;3,7;40;0;2;2;2;3;0;5
ITERA;100;Laki-laki;22;FS;Kimia;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;2,66;40;3;3;2;2;4;0;4
ITERA;101;Laki-laki;21;FTI;Teknik Mesin;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;5,84;40;0;3;4;4;2;2;2
ITERA;103;Laki-laki;20;FTI;Teknik Fisika;Semester 5-6;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;2,11;40;4;4;4;4;3;0;0
ITERA;108;Perempuan;21;FS;Farmasi;Semester 5-6;< 1 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;4,61;40;2;2;2;2;0;0;2
ITERA;113;Laki-laki;21;FTIK;Teknik Kelautan;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;5,03;40;2;2;2;2;4;2;0
ITERA;118;Laki-laki;22;FTIK;Teknik Kelautan;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;2,66;40;2;2;2;2;4;2;0
ITERA;120;Perempuan;21;FS;Sains Data;Semester 7-8;< 1 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;3,64;40;3;4;2;4;2;3;0
ITERA;124;Laki-laki;22;FTIK;Teknik Kelautan;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;3,9;40;2;2;2;0;4;0;5
ITERA;126;Laki-laki;22;FS;Sains Data;Semester 7-8;< 1 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;2,12;40;2;2;2;2;2;2;0
ITERA;132;Laki-laki;22;FS;Farmasi;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;6,95;40;3;3;4;0;2;0;2
ITERA;133;Laki-laki;22;FS;Farmasi;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;4,75;40;3;2;2;2;2;2;0
ITERA;142;Laki-laki;22;FTIK;Teknik Geomatika;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;5,03;40;4;4;4;4;5;2;0
ITERA;144;Perempuan;21;FTIK;Teknik Geomatika;Semester 7-8;2,1 - 3 Jt;2;1;1;Sepeda motor pribadi;Rumah pribadi;2,63;40;3;2;2;2;3;3;2
ITERA;145;Perempuan;21;FS;Sains Atmosfir dan Keplanetan;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;3,75;40;4;3;2;2;2;2;0
ITERA;148;Perempuan;21;FTIK;Arsitektur;Semester 5-6;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;2,24;40;4;2;0;0;2;2;0
ITERA;152;Laki-laki;22;FTIK;Teknik Geomatika;Semester 7-8;2,1 - 3 Jt;1;0;0;Sepeda motor pribadi;Kos bersama-sama;5,68;40;3;2;3;3;4;2;0
ITERA;159;Laki-laki;23;FS;Sains Aktuaria;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;2,85;40;3;0;2;0;2;0;2
ITERA;163;Laki-laki;21;FS;Sains Aktuaria;Semester 5-6;1 - 2 Jt;2;0;1;Sepeda motor pribadi;Rumah pribadi;8,1;40;2;0;2;0;2;0;0
ITERA;167;Laki-laki;21;FTIK;Teknik Lingkungan;Semester 3-4;< 1 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;2,11;40;4;4;4;0;4;2;0
ITERA;178;Perempuan;22;FTIK;Teknik Geomatika;Semester 7-8;< 1 Jt;2;0;1;Sepeda motor pribadi;Rumah pribadi;2,96;40;3;2;3;2;0;0;2
ITERA;182;Perempuan;20;FTIK;Teknik Lingkungan;Semester 3-4;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;1,78;40;2;4;4;2;0;2;2
ITERA;184;Laki-laki;22;FTIK;Desain Komunikasi Visual;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;3,77;40;2;2;4;2;3;0;0
ITERA;187;Laki-laki;21;FTIK;Desain Komunikasi Visual;Semester 5-6;2,1 - 3 Jt;1;0;0;Sepeda motor pribadi;Kos sendiri;2,8;40;2;2;2;2;2;0;3
